,training_size,number of trees,tree depth,training efficiency,testing efficiency
146,0.6,34,6,0.6478897180058133,0.6255067438362102
147,0.6,34,7,0.66108004283456,0.6268070676423345
148,0.6,34,8,0.6788937804898778,0.6246653578440121
149,0.6,34,9,0.7029797215753599,0.6255067438362102
150,0.6,35,4,0.6318947493668304,0.6237729787613778
151,0.6,35,5,0.6386768880352195,0.6240279442135591
152,0.6,35,6,0.6483656575614897,0.6255322403814283
153,0.6,35,7,0.6624908636603152,0.62713852273017
154,0.6,35,8,0.6800156380139722,0.6247418474796665
155,0.6,35,9,0.7047984905916949,0.6253537645649014
156,0.6,36,4,0.631962740731927,0.6236964891257235
157,0.6,36,5,0.6388808621305094,0.6239004614874685
158,0.6,36,6,0.6495555064506807,0.6255322403814283
159,0.6,36,7,0.6625248593428634,0.62713852273017
160,0.6,36,8,0.6806105624585678,0.6248183371153209
161,0.6,36,9,0.7074161581479153,0.625889192014482
162,0.6,37,4,0.6321327191446686,0.6236964891257235
163,0.6,37,5,0.6393228060036376,0.6239514545779047
164,0.6,37,6,0.6497424827046965,0.6260166747405727
165,0.6,37,7,0.6625588550254118,0.62713852273017
166,0.6,37,8,0.6811204976967925,0.6245888682083578
167,0.6,37,9,0.7079600890686882,0.6258636954692639
168,0.6,38,4,0.6324726759701518,0.623594502944851
169,0.6,38,5,0.6397817477180399,0.6241554269396496
170,0.6,38,6,0.6498444697523414,0.6260676678310089
171,0.6,38,7,0.6639356801686186,0.6273169985466969
172,0.6,38,8,0.6820553789668712,0.6247673440248847
173,0.6,38,9,0.7081130696401557,0.6257107161979552
174,0.6,39,4,0.6328466284781833,0.6240279442135591
175,0.6,39,5,0.6402236915911679,0.6244103923918309
176,0.6,39,6,0.6503204093080179,0.6256087300170827
177,0.6,39,7,0.6640206693749894,0.6275209709084419
178,0.6,39,8,0.6821233703319678,0.624435888937049
179,0.6,39,9,0.7086739984022029,0.6258127023788277
180,0.6,40,4,0.6328636263194575,0.6237729787613778
181,0.6,40,5,0.6405806462579252,0.6245888682083578
182,0.6,40,6,0.6509153337526135,0.6261696540118814
183,0.6,40,7,0.6642246434702793,0.6272915020014788
184,0.6,40,8,0.683007258078224,0.6243593993013946
185,0.6,40,9,0.7089799595451378,0.6257362127431733
186,0.6,41,4,0.6328976220020057,0.6238749649422504
187,0.6,41,5,0.6407846203532152,0.6250223094770658
188,0.6,41,6,0.6511193078479033,0.6261696540118814
189,0.6,41,7,0.6659414254389693,0.6273679916371332
190,0.6,41,8,0.6831602386496914,0.6242319165753041
191,0.6,41,9,0.7105777566249086,0.6257617092883915
192,0.6,42,4,0.6334755486053272,0.6240789373039953
193,0.6,42,5,0.6415835188931006,0.6246908543892302
194,0.6,42,6,0.6513402797844674,0.6264501160092807
195,0.6,42,7,0.6674032397885469,0.6275209709084419
196,0.6,42,8,0.6849450119834781,0.6254047576553377
197,0.6,42,9,0.7142152946575785,0.6250478060222839
198,0.6,43,4,0.6334245550815046,0.6237219856709416
199,0.6,43,5,0.6417195016232938,0.6246908543892302
200,0.6,43,6,0.6512552905780966,0.6259656816501364
201,0.6,43,7,0.6681171491220615,0.6278014329058412
202,0.6,43,8,0.6850130033485747,0.6250733025675022
203,0.6,43,9,0.7146572385307066,0.6254302542005559
204,0.6,44,4,0.633679522700617,0.6239259580326866
205,0.6,44,5,0.6423314239091635,0.6247673440248847
206,0.6,44,6,0.652479135149836,0.6266030952805894
207,0.6,44,7,0.668491101630093,0.6276994467249688
208,0.6,44,8,0.6859478846186534,0.6249458198414115
209,0.6,44,9,0.7148272169434482,0.6252772749292471
210,0.6,45,4,0.633577535652972,0.624435888937049
211,0.6,45,5,0.6428243613061141,0.6250223094770658
212,0.6,45,6,0.6525131308323843,0.6264501160092807
213,0.6,45,7,0.6688990498206727,0.6278524259962776
214,0.6,45,8,0.6867977766823613,0.6246653578440121
215,0.6,45,9,0.7176318607536842,0.6243593993013946
216,0.6,46,4,0.6339684860022777,0.6245123785727034
217,0.6,46,5,0.6429603440363074,0.6246908543892302
218,0.6,46,6,0.6525811221974809,0.6262716401927538
219,0.6,46,7,0.6699699138209447,0.62795441217715
220,0.6,46,8,0.6868487702061838,0.6247418474796665
221,0.6,46,9,0.7186687290714079,0.6243339027561765
222,0.6,47,4,0.6343764341928575,0.6244613854822672
223,0.6,47,5,0.6431983138141456,0.624843833660539
224,0.6,47,6,0.6527850962927708,0.626705081461462
225,0.6,47,7,0.6707008209957336,0.6276229570893144
226,0.6,47,8,0.6871547313491186,0.6251752887483746
227,0.6,47,9,0.7190256837381652,0.6246143647535759
228,0.6,48,4,0.634648399653244,0.6241809234848678
229,0.6,48,5,0.6436402576872737,0.6249713163866296
230,0.6,48,6,0.6536179905152045,0.6265266056449351
231,0.6,48,7,0.6711087691863133,0.6274699778180056
232,0.6,48,8,0.6882085975081165,0.6255067438362102
233,0.6,48,9,0.719110672944536,0.6244613854822672
234,0.6,49,4,0.6348183780659856,0.6243848958466128
235,0.6,49,5,0.6440822015604019,0.6250478060222839
236,0.6,49,6,0.6545018782614608,0.6271640192753882
237,0.6,49,7,0.67117676055141,0.6274444812727875
238,0.6,49,8,0.6884465672859547,0.625455750745774
239,0.6,49,9,0.7208954462783227,0.6251497922031565
240,0.6,50,4,0.6354133025105811,0.6246143647535759
241,0.6,50,5,0.6443881627033367,0.6252262818388108
242,0.6,50,6,0.6545528717852833,0.6271640192753882
243,0.6,50,7,0.6713127432816033,0.6273169985466969
244,0.6,50,8,0.6893984463973075,0.6249968129318477
245,0.6,50,9,0.7209294419608709,0.6252262818388108
246,0.6,51,4,0.635396304669307,0.6245378751179215
247,0.6,51,5,0.6444901497509816,0.6252007852935927
248,0.6,51,6,0.6546208631503799,0.6270620330945157
249,0.6,51,7,0.6714487260117965,0.6279289156319319
250,0.6,51,8,0.6915571722391256,0.6250987991127203
251,0.6,51,9,0.7221872822151587,0.6256087300170827
252,0.6,52,4,0.6353623089867587,0.6246143647535759
253,0.6,52,5,0.6450510785130289,0.6250987991127203
254,0.6,52,6,0.6546718566742024,0.6269600469136432
255,0.6,52,7,0.6716866957896347,0.6278269294510593
256,0.6,52,8,0.692560044874301,0.624843833660539
257,0.6,52,9,0.722119290850062,0.6256087300170827
258,0.6,53,4,0.6355152895582261,0.6246908543892302
259,0.6,53,5,0.6454420288623345,0.6255577369266464
260,0.6,53,6,0.6550118134996855,0.6269855434588614
261,0.6,53,7,0.6717376893134572,0.6278014329058412
262,0.6,53,8,0.6944468052557325,0.6250987991127203
263,0.6,53,9,0.7256378439938128,0.6249713163866296
264,0.6,54,4,0.6358042528598868,0.6247673440248847
265,0.6,54,5,0.6455780115925277,0.6255577369266464
266,0.6,54,6,0.6551647940711529,0.6265775987353713
267,0.6,54,7,0.6729955295677449,0.6277249432701869
268,0.6,54,8,0.6951947102717955,0.6251497922031565
269,0.6,54,9,0.7276605871054376,0.6258636954692639
270,0.6,55,4,0.6358042528598868,0.6252007852935927
271,0.6,55,5,0.6458839727354626,0.6257107161979552
272,0.6,55,6,0.6557257228332002,0.6275209709084419
273,0.6,55,7,0.6739644065203719,0.6280309018128044
274,0.6,55,8,0.6953136951607146,0.6251242956579384
275,0.6,55,9,0.7276775849467118,0.6259401851049183
276,0.6,56,4,0.6359402355900801,0.6248948267509753
277,0.6,56,5,0.6468188540055413,0.6259401851049183
278,0.6,56,6,0.6562186602301507,0.6271130261849519
279,0.6,56,7,0.6747803029015315,0.6281328879936768
280,0.6,56,8,0.6957386411925686,0.6251242956579384
281,0.6,56,9,0.7277965698356309,0.6258636954692639
282,0.6,57,4,0.6358892420662576,0.6249968129318477
283,0.6,57,5,0.6465978820689773,0.6258636954692639
284,0.6,57,6,0.6563716408016181,0.62754646745366
285,0.6,57,7,0.675052268361918,0.6278524259962776
286,0.6,57,8,0.6972684469072428,0.6255067438362102
287,0.6,57,9,0.7281365266611141,0.6257872058336096
288,0.6,58,4,0.6358892420662576,0.6251242956579384
289,0.6,58,5,0.6467508626404447,0.6259146885597001
